Zip,City,Date,Price
30044,Lawrenceville,2/28/2013,108523
30044,Lawrenceville,3/31/2013,111054
30044,Lawrenceville,4/30/2013,113384
30044,Lawrenceville,5/31/2013,115827
30044,Lawrenceville,6/30/2013,118161
30044,Lawrenceville,7/31/2013,120748
30044,Lawrenceville,8/31/2013,123695
30044,Lawrenceville,9/30/2013,127153
30044,Lawrenceville,10/31/2013,130051
30044,Lawrenceville,11/30/2013,132496
30044,Lawrenceville,12/31/2013,134691
30044,Lawrenceville,1/31/2014,136618
30044,Lawrenceville,2/28/2014,137923
30044,Lawrenceville,3/31/2014,138810
30044,Lawrenceville,4/30/2014,139914
30044,Lawrenceville,5/31/2014,141148
30044,Lawrenceville,6/30/2014,142225
30044,Lawrenceville,7/31/2014,143446
30044,Lawrenceville,8/31/2014,144121
30044,Lawrenceville,9/30/2014,144543
30044,Lawrenceville,10/31/2014,144907
30044,Lawrenceville,11/30/2014,145664
30044,Lawrenceville,12/31/2014,146470
30044,Lawrenceville,1/31/2015,147643
30044,Lawrenceville,2/28/2015,148640
30044,Lawrenceville,3/31/2015,149270
30044,Lawrenceville,4/30/2015,149901
30044,Lawrenceville,5/31/2015,150404
30044,Lawrenceville,6/30/2015,151695
30044,Lawrenceville,7/31/2015,152708
30044,Lawrenceville,8/31/2015,154016
30044,Lawrenceville,9/30/2015,155184
30044,Lawrenceville,10/31/2015,156266
30044,Lawrenceville,11/30/2015,156870
30044,Lawrenceville,12/31/2015,157467
30044,Lawrenceville,1/31/2016,158159
30044,Lawrenceville,2/29/2016,159219
30044,Lawrenceville,3/31/2016,160738
30044,Lawrenceville,4/30/2016,162246
30044,Lawrenceville,5/31/2016,163778
30044,Lawrenceville,6/30/2016,164341
30044,Lawrenceville,7/31/2016,164920
30044,Lawrenceville,8/31/2016,165739
30044,Lawrenceville,9/30/2016,166937
30044,Lawrenceville,10/31/2016,168349
30044,Lawrenceville,11/30/2016,169863
30044,Lawrenceville,12/31/2016,171768
30044,Lawrenceville,1/31/2017,173033
30044,Lawrenceville,2/28/2017,174422
30044,Lawrenceville,3/31/2017,175296
30044,Lawrenceville,4/30/2017,176330
30044,Lawrenceville,5/31/2017,177445
30044,Lawrenceville,6/30/2017,179312
30044,Lawrenceville,7/31/2017,181188
30044,Lawrenceville,8/31/2017,182344
30044,Lawrenceville,9/30/2017,183399
30044,Lawrenceville,10/31/2017,184418
30044,Lawrenceville,11/30/2017,185991
30044,Lawrenceville,12/31/2017,187132
30044,Lawrenceville,1/31/2018,189430
30044,Lawrenceville,2/28/2018,191022
30044,Lawrenceville,3/31/2018,192877
